,id,title,release_date,overview,popularity,vote_average,vote_count,poster_path,original_language,adult
56,92321,Hotarubi no Mori e,2011-09-17,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.043,8.324,1077,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,ja,False
57,914,The Great Dictator,1940-10-15,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,87.447,8.323,3255,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,en,False
58,12493,High and Low,1963-03-01,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his servants son is kidnapped",27.713,8.317,846,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,ja,False
59,105,Back to the Future,1985-07-03,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",112.531,8.317,19399,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,en,False
60,644479,Dedicated to my ex,2019-11-01,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",9.839,8.316,496,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,es,False
61,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,"Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control.",65.266,8.316,1505,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,ja,False
62,207,Dead Poets Society,1989-06-02,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",53.48,8.314,10890,/hmGAF5NDoYB6S39UONevjHCESOI.jpg,en,False
63,599,Sunset Boulevard,1950-08-10,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,32.091,8.312,2483,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,en,False
64,3782,Ikiru,1952-10-09,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",41.997,8.311,1079,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,ja,False
65,101,Léon: The Professional,1994-09-14,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",87.464,8.309,14392,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,en,False
66,10494,Perfect Blue,1998-02-28,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",76.402,8.305,2504,/xgdcVLcPFjKqQ9kw50YAr05yDHQ.jpg,ja,False
67,3082,Modern Times,1936-02-05,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",31.44,8.296,3584,/uEMekS25hwXrCJOZZ3NKMGcAFJo.jpg,en,False
68,335,Once Upon a Time in the West,1968-12-21,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",77.752,8.289,4180,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,it,False
69,901,City Lights,1931-02-01,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,21.793,8.286,2086,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,en,False
70,28,Apocalypse Now,1979-08-15,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",71.665,8.3,7963,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,en,False
71,29259,Le Trou,1960-03-18,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",20.354,8.284,447,/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg,fr,False
72,77338,The Intouchables,2011-11-02,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,93.52,8.278,16861,/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,fr,False
73,652837,"Josee, the Tiger and the Fish",2020-12-25,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",38.077,8.3,430,/xAbSLi61npWyVs5M0yxin3dKcGO.jpg,ja,False
74,447362,Life in a Year,2020-11-27,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",85.847,8.273,1782,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,en,False
75,1585,It's a Wonderful Life,1946-12-20,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",70.979,8.273,4156,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,en,False
76,975,Paths of Glory,1957-10-25,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,23.32,8.271,2790,/3O10X1bVSasrS2NQ186s2tlKvqN.jpg,en,False
77,637920,Miracle in Cell No. 7,2019-10-10,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",34.933,8.268,4327,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,tr,False
78,527641,Five Feet Apart,2019-03-14,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",61.246,8.267,5467,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,en,False
